-3989.08	16322.66	 3486.00	17160.84	 1728.89	  195.34	2	8	38269240

-10503.29	12206.16	 3304.00	16438.55	 2178.53	  193.25	2	9	38269270

-14794.60	 5466.82	 3397.00	16134.00	 2662.00	  202.58	3	1	38269570

-14464.04	 5388.56	 3452.00	15816.49	 2659.45	  210.11	1	4	38269660

-9732.28	12510.02	 3227.00	16175.02	 2131.36	  191.80	1	5	38269720

-10225.47	12439.84	 3246.00	16427.00	 2157.00	  189.95	3	2	38269750

 6990.57	17928.16	 3499.00	19558.38	 1144.97	  171.76	1	1	38269870

-3450.12	16659.99	 3344.00	17339.00	 1695.00	  185.33	3	3	38269890

 6560.43	18044.23	 3414.00	19501.00	 1167.00	  168.04	3	4	38270070

-10062.29	12269.59	 3386.00	16225.21	 2155.92	  200.76	0	7	38270090

-14128.82	 5493.30	 3453.00	15547.45	 2645.90	  213.87	0	4	38270090

-3564.37	16608.01	 3470.00	17337.00	 1701.88	  192.43	0	9	38270130

 6796.47	17621.15	 3396.00	19189.32	 1148.47	  169.89	0	6	38270190

-14479.20	 5085.59	 3350.00	15707.74	 2677.45	  205.23	2	2	38271220

-3781.05	15902.55	 3402.00	16696.14	 1722.91	  195.95	2	8	38271230

-10093.17	11728.67	 3190.00	15799.05	 2178.56	  194.15	2	9	38271250

-14247.96	 5417.98	 3437.00	15626.00	 2653.00	  211.77	3	1	38271570

-14033.52	 5364.01	 3394.00	15402.32	 2651.36	  212.17	1	4	38271660

-9251.07	12459.39	 3274.00	15859.94	 2109.90	  198.56	1	5	38271720

-9871.98	12087.01	 3260.00	15943.00	 2154.00	  196.65	3	2	38271740

-3162.90	16226.14	 3563.00	16911.14	 1683.84	  202.71	1	6	38271780

 6625.80	17497.41	 3517.00	19037.59	 1154.33	  177.43	1	1	38271860

-3194.87	16284.37	 3337.00	16927.00	 1685.00	  189.50	3	3	38271910

 6715.55	17494.61	 3410.00	19047.00	 1150.00	  171.89	3	4	38272080

-13606.57	 5351.38	 3569.00	15050.38	 2642.18	  228.63	0	4	38272120

-2931.59	15833.04	 3469.00	16471.59	 1674.83	  202.63	0	9	38272140

 6540.21	17399.02	 3338.00	18884.98	 1156.65	  169.68	0	6	38272210

-13912.23	 4929.64	 3365.00	15138.52	 2674.81	  214.05	2	2	38273220

-3557.90	15345.38	 3358.00	16106.38	 1717.56	  200.56	2	8	38273230

-9680.70	11491.33	 3240.00	15370.89	 2168.53	  202.81	2	9	38273250

-13784.76	 5308.04	 3397.00	15157.00	 2649.00	  215.85	3	1	38273570

-13512.53	 5213.39	 3366.00	14869.36	 2648.37	  218.06	1	4	38273670

-9061.45	11915.50	 3224.00	15312.84	 2120.87	  202.57	1	5	38273720

-9483.20	11761.06	 3242.00	15452.00	 2148.00	  201.85	3	2	38273750

-3363.79	15512.33	 3604.00	16276.87	 1703.92	  213.21	1	6	38273780

 6495.67	17106.81	 3508.00	18631.76	 1153.46	  180.87	1	1	38273860

